text,Condition,Procedure,Medication,original_Condition,original_Procedure,original_Medication
mutations in the scn9a gene can cause erythromelalgia the scn9a gene provides instructions for making one part the alpha subunit of a sodium channel called nav1 7 sodium channels transport positively charged sodium atoms sodium ions into cells and play a key role in a cell s ability to generate and transmit electrical signals nav1 7 sodium channels are found in nerve cells called nociceptors that transmit pain signals to the spinal cord and brain the scn9a gene mutations that cause erythromelalgia result in nav1 7 sodium channels that open more easily than usual and stays open longer than normal increasing the flow of sodium ions into nociceptors this increase in sodium ions enhances transmission of pain signals leading to the signs and symptoms of erythromelalgia it is unknown why the pain episodes associated with erythromelalgia mainly occur in the hands and feet an estimated 15 percent of cases of erythromelalgia are caused by mutations in the scn9a gene other cases are thought to have a nongenetic cause or may be caused by mutations in one or more as yet unidentified genes,"erythromelalgia, pain",,,"Pain, Erythromelalgia",,
you can help your doctor make a diagnosis by writing down important information about your problem beforehand and giving the information to your doctor during your visit write down answers to the following questions when did i first become aware of my taste problem what changes in my sense of taste did i notice do all foods and drinks taste the same have there been any changes in my sense of smell does the change in taste affect my ability to eat normally what medicines do i take what are the names of the medicines how much do i take what is the health condition for which i take the medicine have i recently had a cold or the flu when did i first become aware of my taste problem what changes in my sense of taste did i notice do all foods and drinks taste the same have there been any changes in my sense of smell does the change in taste affect my ability to eat normally what medicines do i take what are the names of the medicines how much do i take what is the health condition for which i take the medicine have i recently had a cold or the flu,flu,,,Flu,,
pseudoxanthoma elasticum pxe is an inherited disorder that causes calcium and other minerals to accumulate in the elastic fibers of the skin eyes and blood vessels and less frequently in other areas such as the digestive tract pxe may cause the following symptoms growth of yellowish bumps on the skin of the neck under the arms or in the groin area reduced vision periodic weakness in the legs claudication or bleeding in the gastrointestinal tract particularly the stomach a clinical diagnosis of pxe can be made when an individual is found to have both the characteristic eye findings and yellow bumps on the skin abcc6 is the only gene known to be associated with this condition currently there is no treatment for this condition but affected individuals may benefit from routine visits to an eye doctor who specializes in retinal disorders and by having regular physical examinations with their primary physician,"pseudoxanthoma elasticum, bleeding, retinal disorders",,,"Bleeding, Retinal Disorders, Pseudoxanthoma elasticum",,
certain factors affect prognosis chance of recovery and treatment options the prognosis chance of recovery and treatment options depend on the following the type of germ cell tumor where the tumor first began to grow the stage of the cancer whether it has spread to nearby areas or to other places in the body how well the tumor responds to treatment lower afp and hcg levels whether the tumor can be completely removed by surgery the patient s age and general health whether the cancer has just been diagnosed or has recurred come back the prognosis for childhood extracranial germ cell tumors especially ovarian germ cell tumors is good,"cancer, ovarian germ cell tumors",surgery,,"Childhood Extracranial Germ Cell Tumors, Ovarian Germ Cell Tumors, Cancer",Surgery,
how is multiple pterygium syndrome escobar type treated there is currently no cure for multiple pterygium syndrome escobar type as a result treatment is aimed at managing the associated symptoms orthopedics should be involved for issues arising from scoliosis infections should be treated promptly contracture releases have been performed with variable outcome physical therapy is important to help minimize contractures when ptosis droopy eyelids is present the patient should be referred to ophthalmology patients should also be referred to audiology due to the risk of conductive hearing loss,"multiple pterygium syndrome escobar type, scoliosis, hearing loss",,,"Hearing Loss, Scoliosis",,
these resources address the diagnosis or management of phosphoglycerate mutase deficiency genetic testing registry glycogen storage disease type x these resources from medlineplus offer information about the diagnosis and management of various health conditions diagnostic tests drug therapy surgery and rehabilitation genetic counseling palliative care,phosphoglycerate mutase deficiency,"genetic testing, surgery, rehabilitation, genetic counseling, palliative care",,Phosphoglycerate mutase deficiency,"Rehabilitation, Surgery, Palliative Care, Genetic Testing, Genetic Counseling",
about 70 percent of all cases of hypochondroplasia are caused by mutations in the fgfr3 gene this gene provides instructions for making a protein that is involved in the development and maintenance of bone and brain tissue although it remains unclear how fgfr3 mutations lead to the features of hypochondroplasia researchers believe that these genetic changes cause the protein to be overly active the overactive fgfr3 protein likely interferes with skeletal development and leads to the disturbances in bone growth that are characteristic of this disorder in the absence of a mutation in the fgfr3 gene the cause of hypochondroplasia is unknown researchers suspect that mutations in other genes are involved although these genes have not been identified,hypochondroplasia,,,Hypochondroplasia,,
signs and symptoms of extragonadal germ cell tumors include breathing problems and chest pain malignant extragonadal germ cell tumors may cause signs and symptoms as they grow into nearby areas other conditions may cause the same signs and symptoms check with your doctor if you have any of the following chest pain breathing problems cough fever headache change in bowel habits feeling very tired trouble walking trouble in seeing or moving the eyes,"extragonadal germ cell tumors, breathing problems, chest pain, cough, fever, headache",,,"Extragonadal Germ Cell Tumors, Fever, Breathing Problems, Headache, Cough, Chest Pain, Pain",,
pol iii related leukodystrophy is a rare disorder its prevalence is unknown only about 40 cases have been described in the medical literature however researchers believe that a significant percentage of people with an unspecified hypomyelinating leukodystrophy could have pol iii related leukodystrophy,leukodystrophy,,,Leukodystrophy,,
the possible signs of lung cancer are a cough that doesn t go away and gets worse over time constant chest pain coughing up blood shortness of breath wheezing or hoarseness repeated problems with pneumonia or bronchitis swelling of the neck and face loss of appetite or weight loss fatigue a cough that doesn t go away and gets worse over time constant chest pain coughing up blood shortness of breath wheezing or hoarseness repeated problems with pneumonia or bronchitis swelling of the neck and face loss of appetite or weight loss fatigue,"lung cancer, cough, chest pain, pneumonia, fatigue",,,"Lung Cancer, Fatigue, Pneumonia, Cancer, Cough, Chest Pain, Pain",,
many cases of botulism are preventable foodborne botulism has often been from home canned foods with low acid content such as asparagus green beans beets and corn and is caused by failure to follow proper canning methods however seemingly unlikely or unusual sources are found every decade with the common problem of improper handling during manufacture at retail or by consumers some examples are chopped garlic in oil canned cheese sauce chile peppers tomatoes carrot juice and baked potatoes wrapped in foil in alaska foodborne botulism is caused by fermented fish and other aquatic game foods persons who do home canning should follow strict hygienic procedures to reduce contamination of foods and carefully follow instructions on safe home canning including the use of pressure canners cookers as recommended through county extension services or from the us department of agriculture oils infused with garlic or herbs should be refrigerated potatoes which have been baked while wrapped in aluminum foil should be kept hot until served or refrigerated because the botulinum toxin is destroyed by high temperatures persons who eat home canned foods should consider boiling the food for 10 minutes before eating it to ensure safety wound botulism can be prevented by promptly seeking medical care for infected wounds and by not using injectable street drugs most infant botulism cases cannot be prevented because the bacteria that causes this disease is in soil and dust the bacteria can be found inside homes on floors carpet and countertops even after cleaning honey can contain the bacteria that causes infant botulism so children less than 12 months old should not be fed honey honey is safe for persons 1 year of age and older,botulism,,,Botulism,,
these resources address the diagnosis or management of mucopolysaccharidosis type vii genetic testing registry mucopolysaccharidosis type vii national mps society a guide to understanding mps vii these resources from medlineplus offer information about the diagnosis and management of various health conditions diagnostic tests drug therapy surgery and rehabilitation genetic counseling palliative care,mucopolysaccharidosis type vii,"genetic testing, surgery, rehabilitation, genetic counseling, palliative care",,Mucopolysaccharidosis type VII,"Rehabilitation, Surgery, Palliative Care, Genetic Testing, Genetic Counseling",
the genetic causes of beckwith wiedemann syndrome are complex the condition usually results from the abnormal regulation of genes in a particular region of chromosome 11 people normally inherit one copy of this chromosome from each parent for most genes on chromosome 11 both copies of the gene are expressed or turned on in cells for some genes however only the copy inherited from a person s father the paternally inherited copy is expressed for other genes only the copy inherited from a person s mother the maternally inherited copy is expressed these parent specific differences in gene expression are caused by a phenomenon called genomic imprinting abnormalities involving genes on chromosome 11 that undergo genomic imprinting are responsible for most cases of beckwith wiedemann syndrome at least half of all cases result from changes in a process called methylation methylation is a chemical reaction that attaches small molecules called methyl groups to certain segments of dna in genes that undergo genomic imprinting methylation is one way that a gene s parent of origin is marked during the formation of egg and sperm cells beckwith wiedemann syndrome is often associated with changes in regions of dna on chromosome 11 called imprinting centers ics ics control the methylation of several genes that are involved in normal growth including the cdkn1c h19 igf2 and kcnq1ot1 genes abnormal methylation disrupts the regulation of these genes which leads to overgrowth and the other characteristic features of beckwith wiedemann syndrome about twenty percent of cases of beckwith wiedemann syndrome are caused by a genetic change known as paternal uniparental disomy upd paternal upd causes people to have two active copies of paternally inherited genes rather than one active copy from the father and one inactive copy from the mother people with paternal upd are also missing genes that are active only on the maternally inherited copy of the chromosome in beckwith wiedemann syndrome paternal upd usually occurs early in embryonic development and affects only some of the body s cells this phenomenon is called mosaicism mosaic paternal upd leads to an imbalance in active paternal and maternal genes on chromosome 11 which underlies the signs and symptoms of the disorder less commonly mutations in the cdkn1c gene cause beckwith wiedemann syndrome this gene provides instructions for making a protein that helps control growth before birth mutations in the cdkn1c gene prevent this protein from restraining growth which leads to the abnormalities characteristic of beckwith wiedemann syndrome about 1 percent of all people with beckwith wiedemann syndrome have a chromosomal abnormality such as a rearrangement translocation abnormal copying duplication or loss deletion of genetic material from chromosome 11 like the other genetic changes responsible for beckwith wiedemann syndrome these abnormalities disrupt the normal regulation of certain genes on this chromosome,,,,,,
diabetes management and treatment is expensive many people who have diabetes need help paying for their care for those who qualify a variety of government and nongovernment programs can help cover health care expenses health insurance helps pay for medical care including the cost of diabetes care health insurance options include private health insurance and government health insurance insurance companies sell private health insurance plans two types of private health insurance are group health insurance and individual health insurance medicare is a federal health insurance program that pays health care costs for eligible people who are age 65 or older under age 65 with certain disabilities or of any age with end stage renal disease medicaid is a state health insurance program for those with low incomes and few assets each state runs its own program the childrens health insurance program chip gives free or low cost medicaid to children whose parents earn too much for medicaid though not enough to pay for a health plan many local governments have public health departments that can help people who need medical care local resources such as charitable groups may offer financial help for some expenses related to diabetes people should talk with their health care providers if they have problems paying for diabetes medications less expensive generic medications for diabetes blood pressure and cholesterol are available if a health care provider prescribes medications that a person cannot afford the person should ask the health care provider about cheaper alternatives health care providers may also be able to assist people who need help paying for their medications and diabetes testing supplies such as glucose test strips by providing free samples or referring them to local programs drug companies that sell insulin or diabetes medications often have patient assistance programs,"diabetes, disabilities, cholesterol",,,"Diabetes, Disabilities, Cholesterol",,
how might stiff person syndrome be treated treatment of stiff person syndrome sps focuses on the specific symptoms present in each person benzodiazepines may be used to treat muscle stiffness and episodic spasms baclofen may be used in addition to benzodiazepines anti seizure drugs have reportedly been effective for some people more recently studies have shown that intravenous immunoglobulin ivig is effective in improving many of the symptoms of sps research involving additional treatment options for sps is ongoing additional information about the treatment of stiff person syndrome can be viewed on medscape reference s web site,stiff person syndrome,,,Stiff person syndrome,,
spina bifida is a neural tube defect a type of birth defect of the brain spine or spinal cord it happens if the spinal column of the fetus doesn t close completely during the first month of pregnancy this can damage the nerves and spinal cord screening tests during pregnancy can check for spina bifida sometimes it is discovered only after the baby is born the symptoms of spina bifida vary from person to person most people with spina bifida are of normal intelligence some people need assistive devices such as braces crutches or wheelchairs they may have learning difficulties urinary and bowel problems or hydrocephalus a buildup of fluid in the brain the exact cause of spina bifida is unknown it seems to run in families taking folic acid can reduce the risk of having a baby with spina bifida it s in most multivitamins women who could become pregnant should take it daily nih national institute of neurological disorders and stroke,"spina bifida, hydrocephalus, stroke",assistive devices,,"Stroke, Spina Bifida, Hydrocephalus",Assistive Devices,
pain and stiffness in joints different types of arthritis have different symptoms in general people with most forms of arthritis have pain and stiffness in their joints osteoarthritis usually develops slowly and can occur in any joint but often occurs in weight bearing joints early in the disease joints may ache after physical work or exercise most often osteoarthritis occurs in the hands hips knees neck or low back common signs common signs of osteoarthritis include joint pain swelling and tenderness stiffness after getting out of bed a crunching feeling or sound of bone rubbing on bone joint pain swelling and tenderness stiffness after getting out of bed a crunching feeling or sound of bone rubbing on bone not everyone with osteoarthritis feels pain however in fact only a third of people with x ray evidence of osteoarthritis report pain or other symptoms diagnosis to make a diagnosis of osteoarthritis most doctors use a combination of methods and tests including a medical history a physical examination x rays and laboratory tests a medical history is the patient s description of symptoms and when and how they began the description covers pain stiffness and joint function and how these have changed over time a physical examination includes the doctor s examination of the joints skin reflexes and muscle strength the doctor observes the patient s ability to walk bend and carry out activities of daily living x rays are limited in their capacity to reveal how much joint damage may have occurred in osteoarthritis x rays usually don t show osteoarthritis damage until there has been a significant loss of cartilage a medical history is the patient s description of symptoms and when and how they began the description covers pain stiffness and joint function and how these have changed over time a physical examination includes the doctor s examination of the joints skin reflexes and muscle strength the doctor observes the patient s ability to walk bend and carry out activities of daily living x rays are limited in their capacity to reveal how much joint damage may have occurred in osteoarthritis x rays usually don t show osteoarthritis damage until there has been a significant loss of cartilage questions your doctor may ask it is important for people with joint pain to give the doctor a complete medical history answering these questions will help your doctor make an accurate diagnosis is the pain in one or more joints when does the pain occur and how long does it last when did you first notice the pain does activity make the pain better or worse have you had any illnesses or accidents that may account for the pain is there a family history of any arthritis or rheumatic diseases what medicines are you taking is the pain in one or more joints when does the pain occur and how long does it last when did you first notice the pain does activity make the pain better or worse have you had any illnesses or accidents that may account for the pain is there a family history of any arthritis or rheumatic diseases what medicines are you taking a patient s attitudes daily activities and levels of anxiety or depression have a lot to do with how severe the symptoms of osteoarthritis may be who can provide care treating arthritis often requires a multidisciplinary or team approach many types of health professionals care for people with arthritis you may choose a few or more of the following professionals to be part of your health care team primary care physicians doctors who treat patients before they are referred to other specialists in the health care system often a primary care physician will be the main doctor to treat your arthritis primary care physicians also handle other medical problems and coordinate the care you receive from other physicians and health care providers primary care physicians doctors who treat patients before they are referred to other specialists in the health care system often a primary care physician will be the main doctor to treat your arthritis primary care physicians also handle other medical problems and coordinate the care you receive from other physicians and health care providers rheumatologists doctors who specialize in treating arthritis and related conditions that affect joints muscles and bones rheumatologists doctors who specialize in treating arthritis and related conditions that affect joints muscles and bones orthopaedists surgeons who specialize in the treatment of and surgery for bone and joint diseases orthopaedists surgeons who specialize in the treatment of and surgery for bone and joint diseases physical therapists health professionals who work with patients to improve joint function physical therapists health professionals who work with patients to improve joint function occupational therapists health professionals who teach ways to protect joints minimize pain perform activities of daily living and conserve energy occupational therapists health professionals who teach ways to protect joints minimize pain perform activities of daily living and conserve energy dietitians health professionals who teach ways to use a good diet to improve health and maintain a healthy weight dietitians health professionals who teach ways to use a good diet to improve health and maintain a healthy weight nurse educators nurses who specialize in helping patients understand their overall condition and implement their treatment plans nurse educators nurses who specialize in helping patients understand their overall condition and implement their treatment plans physiatrists rehabilitation specialists medical doctors who help patients make the most of their physical potential physiatrists rehabilitation specialists medical doctors who help patients make the most of their physical potential licensed acupuncture therapists health professionals who reduce pain and improve physical functioning by inserting fine needles into the skin at specific points on the body licensed acupuncture therapists health professionals who reduce pain and improve physical functioning by inserting fine needles into the skin at specific points on the body psychologists health professionals who seek to help patients cope with difficulties in the home and workplace resulting from their medical conditions psychologists health professionals who seek to help patients cope with difficulties in the home and workplace resulting from their medical conditions social workers professionals who assist patients with social challenges caused by disability unemployment financial hardships home health care and other needs resulting from their medical conditions social workers professionals who assist patients with social challenges caused by disability unemployment financial hardships home health care and other needs resulting from their medical conditions chiropractors health professionals who focus treatment on the relationship between the body s structure mainly the spine and its functioning chiropractors health professionals who focus treatment on the relationship between the body s structure mainly the spine and its functioning massage therapists health professionals who press rub and otherwise manipulate the muscles and other soft tissues of the body they most often use their hands and fingers but may use their forearms elbows or feet massage therapists health professionals who press rub and otherwise manipulate the muscles and other soft tissues of the body they most often use their hands and fingers but may use their forearms elbows or feet,"pain, arthritis, osteoarthritis, rheumatic diseases, anxiety, depression","laboratory tests, surgery, rehabilitation, acupuncture",,"Osteoarthritis, Depression, Arthritis, Anxiety, Pain","Rehabilitation, Surgery, Acupuncture, Laboratory Tests, X-Rays",
asperger syndrome as is a developmental disorder it is an autism spectrum disorder asd one of a distinct group of neurological conditions characterized by a greater or lesser degree of impairment in language and communication skills as well as repetitive or restrictive patterns of thought and behavior other asds include classic autism rett syndrome childhood disintegrative disorder and pervasive developmental disorder not otherwise specified usually referred to as pdd nos unlike children with autism children with as retain their early language skills the most distinguishing symptom of as is a childs obsessive interest in a single object or topic to the exclusion of any other children with as want to know everything about their topic of interest and their conversations with others will be about little else their expertise high level of vocabulary and formal speech patterns make them seem like little professors other characteristics of as include repetitive routines or rituals peculiarities in speech and language socially and emotionally inappropriate behavior and the inability to interact successfully with peers problems with non verbal communication and clumsy and uncoordinated motor movements children with as are isolated because of their poor social skills and narrow interests they may approach other people but make normal conversation impossible by inappropriate or eccentric behavior or by wanting only to talk about their singular interest children with as usually have a history of developmental delays in motor skills such as pedaling a bike catching a ball or climbing outdoor play equipment they are often awkward and poorly coordinated with a walk that can appear either stilted or bouncy,"asperger syndrome, rett syndrome",,,"Autism Spectrum Disorder, Rett Syndrome, Asperger syndrome",,
what are the signs and symptoms of image syndrome the human phenotype ontology provides the following list of signs and symptoms for image syndrome if the information is available the table below includes how often the symptom is seen in people with this condition you can use the medlineplus medical dictionary to look up the definitions for these medical terms signs and symptoms approximate number of patients when available abnormality of the adrenal glands 90 abnormality of the upper urinary tract 90 cryptorchidism 90 depressed nasal bridge 90 displacement of the external urethral meatus 90 frontal bossing 90 intrauterine growth retardation 90 low set posteriorly rotated ears 90 micromelia 90 muscular hypotonia 90 macrocephaly 5 adrenal hypoplasia autosomal dominant inheritance delayed skeletal maturation epiphyseal dysplasia growth hormone deficiency hypercalcemia hypercalciuria hypospadias low set ears metaphyseal dysplasia micropenis postnatal growth retardation prominent forehead short nose the human phenotype ontology hpo has collected information on how often a sign or symptom occurs in a condition much of this information comes from orphanet a european rare disease database the frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature the frequency may also be listed as a fraction the first number of the fraction is how many people had the symptom and the second number is the total number of people who were examined in one study for example a frequency of 25 25 means that in a study of 25 people all patients were found to have that symptom because these frequencies are based on a specific study the fractions may be different if another group of patients are examined sometimes no information on frequency is available in these cases the sign or symptom may be rare or common,"image syndrome, growth hormone deficiency",,,"Growth hormone deficiency, IMAGe syndrome",,
primary hypermethioninemia that is not caused by other disorders or excess methionine intake appears to be rare only a small number of cases have been reported the actual incidence is difficult to determine however since many individuals with hypermethioninemia have no symptoms,,,,,,
mnire s disease is an abnormality of the inner ear signs and symptoms may include disabling vertigo or severe dizziness lasting from minutes to hours tinnitus or a roaring sound in the ears fluctuating hearing loss and the sensation of pressure or pain in the affected ear a small percentage of people have drop attacks also called spells of tumarkin the disorder usually affects only one ear and is a common cause of hearing loss some people develop symptoms in both ears many years after their initial diagnosis the exact cause of mnire s disease is unknown but the symptoms are thought to be associated with a change in fluid volume within a portion of the inner ear known as the labyrinth treatment may include medications or surgery depending on the severity of the condition,"tinnitus, hearing loss, pain",surgery,,"Hearing Loss, Tinnitus, Pain, Mnire's disease",Surgery,
what causes leukonychia totalis leukonychia totalis also called total leukonychia is thought to be due to abnormal keratinization conversion into keratin of the nail plate keratin is a protein that is a major component of the epidermis outer layer of skin hair nails and horny tissues the condition is usually inherited following either an autosomal dominant or autosomal recessive inheritance pattern these inherited forms can be caused by mutations in the plcd1 gene in some cases leukonychia occurs in association with other underlying abnormalities or syndromes conditions that have been reported include palmoplantar keratoderma certain types of cysts severe keratosis pilaris pili torti hypotrichosis lack of hair growth onychorrhexis brittle nails koilonychia spoon shaped nails bart pumphrey syndrome and buschkell gorlin syndrome when it occurs with sebaceous cysts and kidney stones it has also reportedly been associated with typhoid fever leprosy cirrhosis nail biting trichinosis and cytotoxic drugs drugs that are toxic to cells in a few cases the cause of leukonychia is unknown idiopathic,"leukonychia totalis, palmoplantar keratoderma, pili torti, kidney stones, fever, cirrhosis",,,"Fever, Cirrhosis, Kidney Stones, Palmoplantar keratoderma, Pili torti, Leukonychia totalis",,
the prognosis depends upon the severity of the hypertonia and its cause in some cases such as cerebral palsy the hypertonia may not change over the course of a lifetime in other cases the hypertonia may worsen along with the underlying disease if the hypertonia is mild it has little or no effect on a person s health if there is moderate hypertonia falls or joint contractures may have an impact on a person s health and safety if the hypertonia is so severe that is caused immobility potential consequences include increased bone fragility and fracture infection bed sores and pneumonia,"cerebral palsy, falls, pneumonia",,,"Pneumonia, Cerebral Palsy, Falls",,
waldenstrm macroglobulinemia affects an estimated 3 per million people each year in the united states approximately 1 500 new cases of the condition are diagnosed each year in this country and whites are more commonly affected than african americans for unknown reasons the condition occurs twice as often in men than women,,,,,,
what are the signs and symptoms of hepatic lipase deficiency the human phenotype ontology provides the following list of signs and symptoms for hepatic lipase deficiency if the information is available the table below includes how often the symptom is seen in people with this condition you can use the medlineplus medical dictionary to look up the definitions for these medical terms signs and symptoms approximate number of patients when available angina pectoris autosomal recessive inheritance eruptive xanthomas the human phenotype ontology hpo has collected information on how often a sign or symptom occurs in a condition much of this information comes from orphanet a european rare disease database the frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature the frequency may also be listed as a fraction the first number of the fraction is how many people had the symptom and the second number is the total number of people who were examined in one study for example a frequency of 25 25 means that in a study of 25 people all patients were found to have that symptom because these frequencies are based on a specific study the fractions may be different if another group of patients are examined sometimes no information on frequency is available in these cases the sign or symptom may be rare or common,"hepatic lipase deficiency, angina",,,"Angina, Hepatic lipase deficiency",,
the urinary system is the body s drainage system for removing wastes and extra water it includes two kidneys two ureters a bladder and a urethra urinary tract infections utis are the second most common type of infection in the body you may have a uti if you notice pain or burning when you urinate fever tiredness or shakiness an urge to urinate often pressure in your lower belly urine that smells bad or looks cloudy or reddish pain in your back or side below the ribs people of any age or sex can get utis but about four times as many women get utis as men you re also at higher risk if you have diabetes need a tube to drain your bladder or have a spinal cord injury if you think you have a uti it is important to see your doctor your doctor can tell if you have a uti with a urine test treatment is with antibiotics nih national institute of diabetes and digestive and kidney diseases,"urinary tract infections, pain, fever, diabetes, kidney diseases",,antibiotics,"Urinary Tract Infections, Diabetes, Fever, Pain, Kidney Diseases",,Antibiotics
the prevalence of distal hereditary motor neuropathy type ii is unknown at least 25 affected families have been identified worldwide,,,,,,
multiple cutaneous and mucosal venous malformations also known as vmcm are bluish patches lesions on the skin cutaneous and the mucous membranes such as the lining of the mouth and nose these lesions represent areas where the underlying veins and other blood vessels did not develop properly venous malformations the lesions can be painful especially when they extend from the skin into the muscles and joints or when a calcium deposit forms within the lesion causing inflammation and swelling most people with vmcm are born with at least one venous malformation as affected individuals age the lesions present from birth usually become larger and new lesions often appear the size number and location of venous malformations vary among affected individuals even among members of the same family,multiple cutaneous and mucosal venous malformations,,,,,
mutations in the myh7 gene cause myosin storage myopathy the myh7 gene provides instructions for making a protein known as the cardiac beta myosin heavy chain this protein is found in heart cardiac muscle and in type i skeletal muscle fibers one of two types of fibers that make up the muscles that the body uses for movement cardiac myosin heavy chain is the major component of the thick filament in muscle cell structures called sarcomeres sarcomeres which are made up of thick and thin filaments are the basic units of muscle contraction the overlapping thick and thin filaments attach to each other and release which allows the filaments to move relative to one another so that muscles can contract mutations in the myh7 gene lead to the production of an altered cardiac myosin heavy chain protein which is thought to be less able to form thick filaments the altered proteins accumulate in type i skeletal muscle fibers forming the protein clumps characteristic of the disorder it is unclear how these changes lead to muscle weakness in people with myosin storage myopathy,,,,,,
this condition is inherited in an autosomal recessive pattern which means both copies of the gene in each cell have mutations the parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene but they typically do not show signs and symptoms of the condition,,,,,,
heart failure is caused by other diseases or conditions that damage the heart muscle such as coronary artery disease including heart attacks diabetes and high blood pressure treating these problems can prevent or improve heart failure coronary artery disease coronary artery disease is a leading cause of death in men and women it happens when the arteries that supply blood to the heart become hardened and narrowed high blood pressure high blood pressure is the force of blood pushing against the walls of the arteries if this pressure rises and stays high over time it can weaken your heart and lead to plaque buildup which can then lead to heart failure diabetes diabetes is characterized by having too much glucose or sugar in the blood for a long time this can cause heart problems because high blood glucose can damage parts of the body such as the heart and blood vessels this damage weakens the heart often leading to heart failure other diseases other diseases and conditions also can lead to heart failure such as cardiomyopathy kar de o mi op ah thee or heart muscle disease cardiomyopathy may be present at birth or caused by injury or infection heart valve disease problems with the heart valves may be present at birth or caused by infection heart attack or damage from heart disease arrhythmias ah rith me ahs or irregular heartbeats these heart problems may be present at birth or caused by heart disease or heart defects congenital kon jen ih tal heart defects these problems with the heart s structure are present at birth cardiomyopathy kar de o mi op ah thee or heart muscle disease cardiomyopathy may be present at birth or caused by injury or infection heart valve disease problems with the heart valves may be present at birth or caused by infection heart attack or damage from heart disease arrhythmias ah rith me ahs or irregular heartbeats these heart problems may be present at birth or caused by heart disease or heart defects congenital kon jen ih tal heart defects these problems with the heart s structure are present at birth other factors other factors also can injure the heart muscle and lead to heart failure examples include treatments for cancer such as radiation and chemotherapy thyroid disorders having either too much or too little thyroid hormone in the body alcohol abuse or cocaine and other illegal drug use hiv aids too much vitamin e treatments for cancer such as radiation and chemotherapy thyroid disorders having either too much or too little thyroid hormone in the body alcohol abuse or cocaine and other illegal drug use hiv aids too much vitamin e sleep apnea heart damage from obstructive sleep apnea may worsen heart failure sleep apnea is a common disorder in which you have one or more pauses in breathing or shallow breaths while you sleep sleep apnea can deprive your heart of oxygen and increase its workload treating this sleep disorder might improve heart failure who is at risk heart failure can happen to almost anyone it is the number one reason for hospitalization for people over age 65 heart failure is more common in people who are 65 years old or older african americans people who are overweight people who have had a heart attack men people who are 65 years old or older african americans people who are overweight people who have had a heart attack men aging can weaken the heart muscle older people also may have had diseases for many years that led to heart failure african americans are more likely to have heart failure than people of other races they re also more likely to have symptoms at a younger age have more hospital visits due to heart failure and die from heart failure excess weight puts strain on the heart being overweight also increases your risk of heart disease and type 2 diabetes these diseases can lead to heart failure a history of a heart attack puts people at greater risk for heart failure men have a higher rate of heart failure than women,"heart failure, coronary artery disease, diabetes, high blood pressure, cardiomyopathy, heart attack, cancer, sleep apnea",,vitamin e,"High Blood Pressure, Diabetes, Heart Attack, Heart Failure, HIV/AIDS, Cardiomyopathy, Coronary Artery Disease, Cancer, Sleep Apnea",,Vitamin E
what causes mitochondrial genetic disorders mitochondrial genetic disorders can be caused by changes mutations in either the mitochondrial dna or nuclear dna that lead to dysfunction of the mitochondria most dna hereditary material that is passed from parent to child is packaged within the nucleus of each cell known as nuclear dna however mitochondria the structures in each cell that produce energy contain a small amount of their own dna which is known as mitochondrial dna when the mitochondria are not working properly the body does not have enough energy to carry out its normal functions this can lead to the variety of health problems associated with mitochondrial genetic disorders,mitochondrial genetic disorders,,,"Genetic Disorders, Mitochondrial genetic disorders",,
mulibrey nanism is a rare genetic disorder characterized by profound growth delays and distinctive abnormalities of the muscles liver brain and eyes the acronym mulibrey stands for mu scle li ver br ain and ey e nanism is another word for dwarfism signs and symptoms of the disorder may include constrictive pericarditis low birth weight short stature severe progressive growth delays hypotonia hepatomegaly and yellow discoloration of the eyes in infancy it is caused by mutations in the trim37 gene and is inherited in an autosomal recessive manner treatment may include surgery for constrictive pericarditis medications for progressive heart failure and hormone replacement therapy,"mulibrey nanism, dwarfism, heart failure","surgery, hormone replacement therapy",,"Heart Failure, Dwarfism, Mulibrey Nanism","Surgery, Hormone Replacement Therapy",
